,hash,total_value,transaction_direction,time
47,6076fb9c10f40bab698d0778357bd920d2ad5b1c254114cc3df20952c931878c,33554150,inbound,2022-12-21 11:54:34
48,6634271f77dfb5f472146524ae5e7bc532b5097423f1e5a5261af9e9a6b22650,578063699,inbound,2022-12-18 18:56:48
49,537fe4bfb253dbc5ab027f9df5edfec2bea131dced90f9e170c973afc92dcc6f,12217731,inbound,2022-12-17 17:11:43
50,a9440d3a966aebd5d737e8fd5ce774ca5605776a64f1f9817f21828a15e8f43b,338816582,inbound,2022-12-17 01:29:03
51,37490e7f3c7f49fb97af43f7c2268d4d3451e0fa67742fdf2bc08f5bd8532d3e,18453306,inbound,2022-12-16 23:53:06
52,8da0996c24e25b4a3e5f4572ed2f7c733c536cf00cb9a7b5cc171432b7e505a9,10453283605,inbound,2022-12-16 17:42:54
53,ea529836008b713bfdf79924ede547150c4895cff8af7f6a0f0dba104c850fad,351065324,inbound,2022-12-14 14:44:10
54,4f374174b248cb798e89c0411e3915a104cd74890db76df6450b1936517fa646,715049978,inbound,2022-12-14 13:38:08
55,265e6d953d9a1bf02ac455cc226e3318238ae819370ec0b6924d4dc88385f0c9,23617119,inbound,2022-12-14 03:51:57
56,c35a51b1fb4125a98482d509a5b0bbd6f6cf8c34b767dac6869a8e626be450d1,606513756,inbound,2022-12-13 17:33:09
57,07765b438cf2c8cc0fdcfa72221b5c9c3fee1e84ceca7ccf4d317c8469f6e1ff,12220645703,inbound,2022-12-12 22:04:48
58,8d9ed563291554f5901978705aa80b315abbd0552c2486cc878ae46352ce36fc,1262621238,inbound,2022-12-12 07:56:46
59,b31a3046ae26c6744722412924b21b177fed4e83fb3727e181a3c8d75ca7b9e3,16800514,inbound,2022-12-11 18:06:38
60,9749b076e324faba155614af9bebd9d1f00768364c0f6ce14be1afd4a7d174b1,225179557,inbound,2022-12-11 12:36:49
61,204c9c246bc396ca7cb3a423a795938bd9f51f8150495f9479b032498097b38f,483902066,inbound,2022-12-11 12:24:09
62,1e274480b73566c2701602b8cc930beacdef88c27676a436c526c3afff2fb9b3,29386413,inbound,2022-12-10 23:13:47
63,8d1d99b42f05ca28db0a2f61e51da65b741c086f8a4cbeccf5e335cd2ef7d99a,13174065,inbound,2022-12-10 21:16:31
64,73a91810f4241233bb710a49df89cd1743cbd4c92f20953dbfd4550e6ee6e62b,9197640213,inbound,2022-12-09 18:20:37
65,eba90e7926cc4e752d20b9c2165ef3755ded9d5357aaef4f5b03d016b86ed310,12201072,inbound,2022-12-09 12:53:49
66,13d8bd45d5f5f503d0c9c1831812b1e1ee266d722579d52b5e9d0d71cb16df96,126840218,inbound,2022-12-09 11:12:04
67,041e556f8ae1ea4826a67ec717a997b1c4ff8ff0183af0692048045670076fe2,31473098,outbound,2022-12-09 08:31:06
68,ffa337de1fc3648db328c6d3a084ce290d1ba652a68fda6999eb957be54571af,54192547,inbound,2022-12-09 04:23:11
