,hash,total_value,real_time,num_outputs,direction
0,445073af9be5f425321e7fa5d7472488810a1625e4c062e5b1997b2cf12bcfab,2080758904,2022-12-28 21:55:38,256,inbound
1,7c87bc653afa11e8ae00e2fde801c87f31ce85f77ebd2a17067d1248c3ffcfb8,464101331,2022-12-22 23:44:44,223,inbound
2,b0904284a8b8800e12857f568784680ec1f0c86d928ecd0bad3ed675ddee6c19,434233553,2022-12-26 19:27:29,210,inbound
3,a9440d3a966aebd5d737e8fd5ce774ca5605776a64f1f9817f21828a15e8f43b,338816582,2022-12-17 01:29:03,210,inbound
4,c37a46bbd546f514e4d3aeee7be5f56ff5c783d071dd9cb954f7cb50ce93e35d,295236562,2022-12-24 17:44:10,74,inbound
5,d6111b826e2fcebde14333370e1da3b3e8d44dca81ddd2d86d0136ecd223d328,52880577,2022-12-31 17:47:07,62,inbound
6,ea529836008b713bfdf79924ede547150c4895cff8af7f6a0f0dba104c850fad,351065324,2022-12-14 14:44:10,62,inbound
7,07765b438cf2c8cc0fdcfa72221b5c9c3fee1e84ceca7ccf4d317c8469f6e1ff,12220645703,2022-12-12 22:04:48,62,inbound
8,67af70604a7ba416de056a38623ff4eb8ab7c283462242468b05f8aff3cf2cf1,181583663,2023-01-22 17:57:11,60,inbound
9,ffa337de1fc3648db328c6d3a084ce290d1ba652a68fda6999eb957be54571af,54192547,2022-12-09 04:23:11,56,inbound
10,baad8bfb7356156fe529bc5a64f0fd6ea35091d8808a7a14963d7938ffe8f5e9,101942266995,2022-12-30 15:38:49,52,inbound
11,cb0e5b807a8831cd1ca2474c57ea1cd0467b2611938d78a1cfdf948a49b5f7e6,75151112,2023-01-03 16:39:09,50,inbound
12,204c9c246bc396ca7cb3a423a795938bd9f51f8150495f9479b032498097b38f,483902066,2022-12-11 12:24:09,47,inbound
13,6634271f77dfb5f472146524ae5e7bc532b5097423f1e5a5261af9e9a6b22650,578063699,2022-12-18 18:56:48,45,inbound
14,8103cf60e4aa99cda02c3061099ced6b77a3fdcb4612b48f83e9787e48c5f370,2536240562,2022-12-23 12:52:47,42,inbound
15,4382bb696d0c4d5b2cc151661aec535ee417ca0db7a817683fff8539b29fc457,49981010,2023-01-31 15:56:10,40,inbound
