,hash,total_value,real_time,num_outputs,direction
0,714b266ef18aee52effc559879f4629b4c9dc62990ed08fdd88766d373a7f10a,260571697,2023-03-27 23:04:58,211,inbound
1,8f9391429c028357008fafffdd19af5255f13c9bd4cb72e8932995176ea58e6f,393328728,2023-03-15 14:54:59,194,inbound
2,eef3a0496954cb2d4b308c8619a4d6487b4613f95a9fc1705970fa6c6f9f047c,234454856,2023-03-29 13:34:16,193,inbound
3,17e650b2fd9390c19cc03ef9834b8f071016b5fbb2e6dee6869ae78f1e61ed05,192552283,2023-03-27 03:12:49,186,inbound
4,011a315edf99c7a148ed864f1548dc351c935fee5ed1bc13b65757b3da6a6d4d,176310949,2023-03-27 03:27:04,168,inbound
5,c4a5121236009819bf9676c8fdb4e3242de7a22a1f9d695ac4aa19a980a03c22,571738268,2023-03-28 14:54:32,159,inbound
6,c77684ae859cb1eac4814483bdd962496775b881c7be086945e8b2cd7b27fc85,76982934,2023-03-19 00:11:09,69,inbound
7,2f190d8a817703f1a9ccecfe0a1a66dbeef917475d0a79af4f15ab9f51f53b69,569927614,2023-03-17 14:17:08,68,inbound
8,690eb5d07f692648e4dcf515258976786e1ae74b88e14bf6ec1c91b26224a788,210853669,2023-02-12 04:22:09,61,inbound
9,108ab49055493aeadcd532b70f8897aadcce133d4e7147269d63c1126d6170cc,231985410,2023-04-02 22:37:23,59,inbound
10,82cd76b4b09e4c1236599ddea5518ea958e01c11d38008407c578bd3856f8537,288973025,2023-03-17 14:22:10,59,inbound
11,94785ae2ea51d8ed3a4d3c788106be7424a24c971090481d578962ab588e2436,726555852,2023-04-02 19:52:28,57,inbound
12,a6388a6ec055cc9cdcdb8dbf9820986094e4feba53326844b7544a3cccbbde6b,550411868,2023-02-18 00:40:18,54,inbound
13,2107130caf4382b68622f588b45d5e35065106ff896bfd58a6ac4e79dd3bb730,112483008,2023-03-29 18:47:07,50,inbound
14,3f34e4153a3a037b1716e008b7cc61bbf04a8d97fcb6595ce125da5518b3d815,173801998,2023-03-26 15:58:08,49,inbound
15,a6d32783a0bbd2e18593d2e6b87074a7f41f5dd46c42673c343a2e7a778a1c46,1999937740,2023-02-23 18:56:42,49,inbound
16,9735c1ac4e3f3a65a53b9a471d2f7b5c8934e1fa32584a0a88b72f2a60378920,746756773,2023-03-25 05:27:10,44,inbound
17,94b2ea5646a1bb4360e39c17edef8be63e3dc8908235b0289395491cebcac535,1178737574,2023-02-23 19:48:38,43,inbound
18,9a956fe2c3c569a4d9be1f6af299f44b941609b60e43b2d013d41dec88f063f2,1495864297,2023-03-06 11:54:02,41,inbound
19,791a00345308b23379d837ee0bb9678e1a46ae1ecbbc125d217c252c305dd2cf,308685712,2023-02-23 17:22:38,35,inbound
20,d569048dccdd3bff5e27c3398a7c435b3377c31a867f75725fca8dc42a7b9323,5573911912,2023-03-23 18:16:52,28,inbound
21,ac538f72805ee4ab93341451b6d144f24c52b471c6cb79771650ea06400d15ee,19899971846,2023-03-19 16:23:26,26,inbound
22,7e70a33c7db50ef3cc958de9f45a6d2b2385d5bdc13137dedb0e5abc551b2bd3,11629959523,2023-04-04 21:40:42,21,inbound
23,6285d2d577d61c7387a0a98fda08d1d8888993247d774649710d71c3ae05bbbd,3489264085,2023-04-03 21:48:43,21,inbound
24,67886ba1fe302868b751c69d5c512e47ad939a068f1c26040e73f425d68a0b17,6389976017,2023-03-22 20:20:11,21,inbound
25,3cbb95cbaf0fbfd92c1015396f331bc01c6bf6003d1cf571b3460363d7b87122,171234547,2023-03-31 23:22:11,20,inbound
