,hash,total_value,real_time,num_outputs,direction
0,20bb23f1ff263581d46b127859b549957a299ede1760ebc9468cb3fea03a0cfe,2055301759,2019-09-01 19:32:56,59,inbound
1,68c01097c42a1a944baeead9454056d1e6f3125b0ff416ce3d875ec0a483b2db,74372000,2019-09-01 18:09:20,5,inbound
2,fe7e570439b7f17676cb7936bd22b9022c3ad37fde1a896c01953e8a64386169,7573916,2019-09-01 21:37:55,3,inbound
3,69710a087fa3dae2b4caceaeac73b186962530d48aded8f7c6f3dc41f6e21344,43947313,2019-09-16 18:06:17,2,outbound
4,82bfe7cb266909b1a743f2ac67f0f391406ca0bc6ad208e450905e43a5083cfb,2606900,2019-09-07 00:34:07,2,inbound
5,7b81c9bd01a1c0e1c0b2b4d8c86e005f41f9dc2469090b60a9c11d394f13dbf7,30929033,2019-09-04 16:02:38,2,outbound
6,7778c63e78d0fa1fd2a04f81f8d59034d73ee83c1269d249305033359238ebc9,3981300,2019-09-04 09:45:20,2,outbound
7,c252d2e57b2b790178081b2c50d4d8d4e002f753c4dfae0fbbf9e65ec839e7c2,3981300,2019-09-04 07:09:41,2,outbound
8,64fb7cac8598bf959cd0d1b8f5f65882aefe6181d92aa8db6835424ad4d2c701,3981400,2019-09-04 06:47:16,2,outbound
9,018e7c23261f4b038d1bae757aed74c82e00197719fd891e87621c3fc29622ac,3983967,2019-09-04 06:47:16,2,outbound
10,7f486e707bf263452ff67de4b42fb672edcf8bbf20e899b09eef11c34db100a1,2095997,2019-09-03 10:59:05,2,inbound
11,b6f9677c834dec583d6209cfcc45414d55405e2e0ee3eeeb351b784c8ac5ac6d,9996944,2019-09-03 00:06:14,2,inbound
12,3a7f97f86491b3a445941009d8721418039955fce2e3e8bf56aa979b71e70698,3981300,2019-09-02 17:34:41,2,outbound
13,7fea91291a563a8ba59e48f1ce245b09df25f1c558d28a2bfefe644e0a818ff2,4060692,2019-09-02 14:16:01,2,outbound
14,925423e7a51c54743d9b3a8df91b1bc803f8c2bc3f8a754c9cbb0df80956aa05,3981300,2019-09-02 13:52:05,2,outbound
15,b7451cde16c6021beaabf06ae2506356f38433bffe6fed2bfeecf45ca12c7f11,3981300,2019-09-02 13:52:05,2,outbound
16,13702d1902228b858edc4d4f55e3e5df54270f170322ead5eca296b3aa1e0d72,3981400,2019-09-02 13:52:05,2,outbound
17,5f9c522298746cdf9967ed7b32617ffd293e5962410a1ba4225b26ef54d9e538,3981400,2019-09-02 13:52:05,2,outbound
18,77a6175bf7d4876e8e90f7f77b5111ba01f9219f9d6a6f5667ad3775bddfc4d4,1463460725,2019-09-02 13:36:41,2,inbound
19,0eb54e10c9279cb1d21b8daedb0aa8d1491102c64b746d499835043eb385f21d,8460654,2019-09-02 06:17:35,2,inbound
20,d1a54c2a151415d65584017995b9a47cd567f1485fea5de58ff5c1daf74301ab,9463264,2019-09-02 05:05:21,2,inbound
21,454da81d3dad4af2146a1766724a9c15d1719592adc23edc303b77bc14917b61,2103457,2019-09-01 20:32:58,2,inbound
22,26427be9df4955f0243a6205f3295e96d49fc4fca55f848a3bf71e0211b4d1ea,2026144,2019-09-01 20:32:58,2,inbound
23,017d22009e4c6b219a64bc64f9a1ebd9a8ccd16a6871079c3ad2c1d178f565b0,2206846,2019-09-01 20:16:20,2,inbound
24,f7ae59a59f3703b921ff720826c0756103cbf68d1efcce1377521b0f3138df27,2016600,2019-09-01 20:16:20,2,inbound
25,8fcbd0d15608b4b26808b7f58deaccae9579d132079c725782fab1ac076f29f5,2183221,2019-09-01 18:59:16,2,inbound
26,ac6f203b5beea3d3f5a893bf6005325e677b5f94a7df9e1312450741a58d317e,197501753,2019-09-01 18:47:19,2,inbound
27,ca44e50c62cb8d504cc817b552c251aa6aaaa7871018ff11a8e22b1d6e20d34b,14327036,2019-09-01 18:47:19,2,inbound
28,ddeb9cfa3cc0fbb4ddbe1feac4508f755491593a4053fa310d88a71da1d90550,2444900,2019-09-01 18:27:42,2,inbound
29,61f5eafbdd66f5601e685c4a69490eae76b1a1ff55cdd778ec66e877b1980ac4,10750338,2019-09-01 18:09:20,2,inbound
30,10b323228aed0b890563d3239f6f7e1fc089db305ceebc6dd0c5553b399e75b3,24670932,2019-09-01 18:09:20,2,inbound
31,01ea8c9bcf205476294fee76b4ac42457ca77d8e76b5fb71abe08fed9d466fb7,2446568,2019-09-01 17:55:21,2,inbound
32,558fff24a0026490ae709e33b22e58460a5daf33712fb82bd2f6df21eecbdb60,3488058,2019-09-01 17:23:47,2,inbound
33,e0a2dc6623cd4e2ef4f6108f45ef65d2020f76be38761b5fb7e065466cab3043,18481311,2019-09-01 17:23:47,2,inbound
34,15224165478f3986294e9aa15858f96de5aa2390274d982c7720fce08cc55c97,10052663,2019-09-01 17:17:09,2,inbound
35,fde69ab91dcf5f616caf6ed68e99ea1dc44d59dab735bde382a124cdfca9806f,14509467,2019-09-01 17:15:57,2,inbound
