,hash,time,total_value,direction,gini_coefficient
44,33ff22dd6bd8d918a79f3a7b8e27537fb7240e31f741b1d4d7c0179b7017b06d,2022-12-30 16:07:43,5794920,inbound,2216706.6183
45,baad8bfb7356156fe529bc5a64f0fd6ea35091d8808a7a14963d7938ffe8f5e9,2022-12-30 15:38:49,101942266995,inbound,221.5002
46,f3f783e66b62c9525fbcbc9ab3eceb0273e777fe4c23633485b14aadfdc151b8,2022-12-30 07:29:13,29997832,inbound,245803.5182
47,cee5383c2dd172b0b1500993598051cc24a1391866f952556eb2b38ab579c7da,2022-12-30 07:22:16,80615427526,inbound,37.8596
48,a723fc0eb99d50bd4a4861d548a1dc6adfe9d52da6519ffe4ff29a6b3f1a48b8,2022-12-30 01:36:46,499967627,inbound,41156.3257
49,ef4bcd11f632d0393e6cef244c2db6512f0e55ce610cd66cff7795e167b60834,2022-12-29 23:00:35,238578941,inbound,36392.8070
50,4ae98aa30076541d24945e194e5ac9d7f61a4d178fa546f28801d598b706e414,2022-12-29 20:11:58,5664102,inbound,545977.0899
51,fe778050bb6dc5405a74c137591dad49be8f71112e1a533c28dbc6a9b3d12f81,2022-12-29 16:24:51,5674270,inbound,3102300.3288
52,2e0bd15566b59e727401fe2fd01b34c4496600471af4db7f0cd030a6308dac98,2022-12-29 14:44:33,5956307,inbound,3115151.3380
53,6a2f9cee53b146b7aaf0f3437488f99a07d26ee4b59c32cc4c917c26721eb997,2022-12-29 04:52:49,11647037,inbound,694407.9675
54,ef0135b597d647703c2847d1f3a283caf89cd8fb39d0ad96528cb7cc84e03025,2022-12-28 23:30:54,135897873,inbound,327921.0846
55,575d8b52493692dfa37ce64fdeda16f66d0ffc5167a6615a3c0bff749673659a,2022-12-28 23:06:31,5838296,inbound,611176.9823
56,445073af9be5f425321e7fa5d7472488810a1625e4c062e5b1997b2cf12bcfab,2022-12-28 21:55:38,2080758904,inbound,25674.2054
57,7e315e1e808af0f3b2efd11fb1e9619b379f184b569c8fce970bf9d4638b1128,2022-12-28 14:08:37,26984905,inbound,1251657.6952
58,632bbef083b8957bf705ff34ec9ecfba6d98af570e81d7a0621bbaeb3df31d05,2022-12-28 03:15:31,5799610,inbound,2994235.7473
59,de3c824325f24e58102004bfb6a3032b72d30f593827fa18ee22f41932a24955,2022-12-28 03:10:14,9205160,inbound,1137059.6512
60,b66caebcc9a4d27e498e369775b8a7c590d382c68fb918ca5da6f100a433d55c,2022-12-27 15:38:33,3269263,inbound,873163.3728
61,16023724ee21f6ff0cae2ddb77633e23d4ad44fd59e1c1cba5e19683eaaff0d5,2022-12-27 16:14:19,5777413,inbound,1317584.6674
62,16d2b9cb53e3d9a9744a09b2a008f3ebe1cc17c8b8289e84a3536a7322d769eb,2022-12-27 12:29:25,17272083,inbound,757460.1751
63,b0904284a8b8800e12857f568784680ec1f0c86d928ecd0bad3ed675ddee6c19,2022-12-26 19:27:29,434233553,inbound,180344.5811
64,7b341dfa54077d5f833a90afe541fe013082cce54a96fc10c4086eec22745067,2022-12-26 08:22:01,769051734,inbound,8660.7619
65,237be8e3592f0ee51e97202c3b3e36318356dc7ad42d530c31391a3f96fbf2c5,2022-12-25 15:36:22,26557277,inbound,367218.3227
66,c37a46bbd546f514e4d3aeee7be5f56ff5c783d071dd9cb954f7cb50ce93e35d,2022-12-24 17:44:10,295236562,inbound,239522.9035
67,8103cf60e4aa99cda02c3061099ced6b77a3fdcb4612b48f83e9787e48c5f370,2022-12-23 12:52:47,2536240562,inbound,3970.5202
68,7c87bc653afa11e8ae00e2fde801c87f31ce85f77ebd2a17067d1248c3ffcfb8,2022-12-22 23:44:44,464101331,inbound,144554.1501
69,a493eb2fd8e684cf2f6958e2f2136eccdff087d15458c92db3c74819e75b0ba4,2022-12-22 13:42:07,6318433505,inbound,8056.9411
70,e2a904b0a639d58f73e6f04becad507000d0a1fe8bbe29d08ff65c785c89f0d4,2022-12-21 20:17:13,295509341,inbound,56343.6428
71,cd90fc736a87510e83fe1f8ff68b1a41d5ab3b57c274ac181c78da3c5b1ca32d,2022-12-21 18:41:22,298719216,inbound,3185.4011
72,6076fb9c10f40bab698d0778357bd920d2ad5b1c254114cc3df20952c931878c,2022-12-21 11:54:34,33554150,inbound,439540.5810
73,e2c071c591087b91220e70010e02bb122afaf0ac5d8b291b39545a1a7705bff8,2022-12-20 17:50:31,3618603,inbound,3155449.0115
74,221aa49fc81ed8fe2cb8c43ca12a90b3484d1ee9a671341ff542a84eabfe25c7,2022-12-20 01:13:39,7836062,inbound,1942832.0567
75,6634271f77dfb5f472146524ae5e7bc532b5097423f1e5a5261af9e9a6b22650,2022-12-18 18:56:48,578063699,inbound,13497.4500
76,8eeaa9ca0cf0e3b55bd09df58eb99c38414eee397a0a446ddd13bdbce3513453,2022-12-18 04:24:47,9966700,inbound,1980979.7637
77,537fe4bfb253dbc5ab027f9df5edfec2bea131dced90f9e170c973afc92dcc6f,2022-12-17 17:11:43,12217731,inbound,389389.7555
78,233413e08bd7d23c077aff40709ef3ad43d84f61d845d78a1900a3cc8c932569,2022-12-17 03:46:08,7017047,inbound,2034002.3233
79,bb6d6198253b168aa65c309ac186867c7c00b42c44f622a26ae4a08732f131d8,2022-12-17 03:13:08,7020238,inbound,609933.6343
80,a9440d3a966aebd5d737e8fd5ce774ca5605776a64f1f9817f21828a15e8f43b,2022-12-17 01:29:03,338816582,inbound,257471.8897
81,e7fcf975dfba33126cb1f6f16a895d56433b6ce8e007e9a6fc552c8198c81480,2022-12-17 00:46:54,2571455,inbound,14061360.9074
82,37490e7f3c7f49fb97af43f7c2268d4d3451e0fa67742fdf2bc08f5bd8532d3e,2022-12-16 23:53:06,18453306,inbound,1160117.6281
83,370c988b8b8640e6e60d67b4132c63508c6c39876e5473489102abf437d2c704,2022-12-16 22:50:27,5933309,inbound,5292166.7884
84,8da0996c24e25b4a3e5f4572ed2f7c733c536cf00cb9a7b5cc171432b7e505a9,2022-12-16 17:42:54,10453283605,inbound,1321.5696
85,cdccc85048d21610f8bf5829f6a876170edfe072f35894fc1edb5d36927aab96,2022-12-16 13:49:04,2932514,inbound,3569230.6942
86,ea529836008b713bfdf79924ede547150c4895cff8af7f6a0f0dba104c850fad,2022-12-14 14:44:10,351065324,inbound,128854.7927
87,4f374174b248cb798e89c0411e3915a104cd74890db76df6450b1936517fa646,2022-12-14 13:38:08,715049978,inbound,56245.3308
