,hash,time,total_value,direction,gini_coefficient
44,365d0b174aadad1624280e4574188bfa686fb335095dac6c378d524aa8621c27,2023-03-28 05:18:10,203985854,inbound,112300.0137
45,714b266ef18aee52effc559879f4629b4c9dc62990ed08fdd88766d373a7f10a,2023-03-27 23:04:58,260571697,inbound,107906.5048
46,011a315edf99c7a148ed864f1548dc351c935fee5ed1bc13b65757b3da6a6d4d,2023-03-27 03:27:04,176310949,inbound,153291.2698
47,17e650b2fd9390c19cc03ef9834b8f071016b5fbb2e6dee6869ae78f1e61ed05,2023-03-27 03:12:49,192552283,inbound,127023.7177
48,3f34e4153a3a037b1716e008b7cc61bbf04a8d97fcb6595ce125da5518b3d815,2023-03-26 15:58:08,173801998,inbound,76321.7052
49,9735c1ac4e3f3a65a53b9a471d2f7b5c8934e1fa32584a0a88b72f2a60378920,2023-03-25 05:27:10,746756773,inbound,42607.7951
50,2d4d20b3ab26ae4c2ca04e273851c8d457d6df069c45cd96cd7674bd74323759,2023-03-23 20:41:38,2495775,inbound,427457.3020
51,d569048dccdd3bff5e27c3398a7c435b3377c31a867f75725fca8dc42a7b9323,2023-03-23 18:16:52,5573911912,inbound,1884.8769
52,cd5be3f8e7738d222e6c6d4fadd1264e80c515ac2d03004a674c983674582f60,2023-03-23 13:41:07,33616757,outbound,15867.7697
53,67886ba1fe302868b751c69d5c512e47ad939a068f1c26040e73f425d68a0b17,2023-03-22 20:20:11,6389976017,inbound,687.5387
54,81ba30eb15deb0c2d39b5128ce4d745dd45f70935b440599ff0340ea9b8153b0,2023-03-21 19:37:48,4719153,inbound,113032.8311
55,ac538f72805ee4ab93341451b6d144f24c52b471c6cb79771650ea06400d15ee,2023-03-19 16:23:26,19899971846,inbound,222.6786
56,c77684ae859cb1eac4814483bdd962496775b881c7be086945e8b2cd7b27fc85,2023-03-19 00:11:09,76982934,inbound,211639.9878
57,864bc2181d8d60e70d0ae502aae9fe1f47283a494dd7f1927a68e16effdaea75,2023-03-18 12:13:51,65780269,outbound,0.0000
